Year Month AnnAnom
1950 1 -0.124
1950 2 -0.128
1950 3 -0.13
1950 4 -0.142
1950 5 -0.162
1950 6 -0.172
1950 7 -0.179
1950 8 -0.184
1950 9 -0.186
1950 10 -0.172
1950 11 -0.158
1950 12 -0.148
1951 1 -0.141
1951 2 -0.11
1951 3 -0.088
1951 4 -0.061
1951 5 -0.033
1951 6 0
1951 7 0.043
1951 8 0.09
1951 9 0.096
1951 10 0.106
1951 11 0.101
1951 12 0.098
1952 1 0.102
1952 2 0.095
1952 3 0.097
1952 4 0.087
1952 5 0.08
1952 6 0.069
1952 7 0.059
1952 8 0.06
1952 9 0.073
1952 10 0.09
1952 11 0.103
1952 12 0.115
1953 1 0.115
1953 2 0.116
1953 3 0.116
1953 4 0.121
1953 5 0.127
1953 6 0.129
1953 7 0.106
1953 8 0.086
1953 9 0.072
1953 10 0.046
1953 11 0.025
1953 12 0.001
1954 1 -0.02
1954 2 -0.039
1954 3 -0.057
1954 4 -0.06
1954 5 -0.048
1954 6 -0.064
1954 7 -0.031
1954 8 -0.04
1954 9 -0.055
1954 10 -0.064
1954 11 -0.076
1954 12 -0.077
1955 1 -0.075
1955 2 -0.059
1955 3 -0.063
1955 4 -0.068
1955 5 -0.1
1955 6 -0.112
1955 7 -0.136
1955 8 -0.136
1955 9 -0.13
1955 10 -0.139
1955 11 -0.144
1955 12 -0.152
1956 1 -0.151
1956 2 -0.183
1956 3 -0.187
1956 4 -0.21
1956 5 -0.202
1956 6 -0.181
1956 7 -0.18
1956 8 -0.169
1956 9 -0.157
1956 10 -0.135
1956 11 -0.102
1956 12 -0.071
1957 1 -0.062
1957 2 -0.026
1957 3 -0.006
1957 4 0.024
1957 5 0.042
1957 6 0.052
1957 7 0.088
1957 8 0.108
1957 9 0.125
1957 10 0.127
1957 11 0.123
1957 12 0.099
1958 1 0.098
1958 2 0.08
1958 3 0.068
1958 4 0.066
1958 5 0.066
1958 6 0.062
1958 7 0.041
1958 8 0.027
1958 9 0.028
1958 10 0.037
1958 11 0.037
1958 12 0.052
1959 1 0.053
1959 2 0.06
1959 3 0.06
1959 4 0.055
1959 5 0.041
1959 6 0.036
1959 7 0.03
1959 8 0.037
1959 9 -0.001
1959 10 -0.027
1959 11 -0.04
1959 12 -0.047
1960 1 -0.051
1960 2 -0.045
1960 3 -0.033
1960 4 -0.026
1960 5 -0.028
1960 6 -0.011
1960 7 -0.005
1960 8 0.001
1960 9 0.035
1960 10 0.063
1960 11 0.086
1960 12 0.097
1961 1 0.1
1961 2 0.093
1961 3 0.091
1961 4 0.085
1961 5 0.1
1961 6 0.073
1961 7 0.072
1961 8 0.069
1961 9 0.075
1961 10 0.066
1961 11 0.044
1961 12 0.035
1962 1 0.031
1962 2 0.026
1962 3 0.017
1962 4 0.016
1962 5 0.016
1962 6 0.025
1962 7 0.021
1962 8 0.021
1962 9 -0.008
1962 10 -0.02
1962 11 -0.018
1962 12 -0.018
1963 1 -0.004
1963 2 0.02
1963 3 0.04
1963 4 0.051
1963 5 0.061
1963 6 0.066
1963 7 0.06
1963 8 0.039
1963 9 0.031
1963 10 0.01
1963 11 -0.008
1963 12 -0.015
1964 1 -0.034
1964 2 -0.077
1964 3 -0.119
1964 4 -0.149
1964 5 -0.181
1964 6 -0.204
1964 7 -0.202
1964 8 -0.205
1964 9 -0.195
1964 10 -0.182
1964 11 -0.167
1964 12 -0.175
1965 1 -0.181
1965 2 -0.163
1965 3 -0.152
1965 4 -0.134
1965 5 -0.12
1965 6 -0.103
1965 7 -0.112
1965 8 -0.102
1965 9 -0.093
1965 10 -0.083
1965 11 -0.083
1965 12 -0.069
1966 1 -0.044
1966 2 -0.042
1966 3 -0.025
1966 4 -0.037
1966 5 -0.036
1966 6 -0.035
1966 7 -0.031
1966 8 -0.047
1966 9 -0.04
1966 10 -0.035
1966 11 -0.008
1966 12 -0.008
1967 1 -0.013
1967 2 -0.008
1967 3 -0.01
1967 4 0.01
1967 5 0.007
1967 6 0.007
1967 7 -0.001
1967 8 0.006
1967 9 0.015
1967 10 0.012
1967 11 -0.016
1967 12 -0.017
1968 1 -0.032
1968 2 -0.04
1968 3 -0.054
1968 4 -0.052
1968 5 -0.053
1968 6 -0.056
1968 7 -0.044
1968 8 -0.039
1968 9 -0.051
1968 10 -0.033
1968 11 -0.004
1968 12 0.007
1969 1 0.012
1969 2 0.021
1969 3 0.043
1969 4 0.042
1969 5 0.057
1969 6 0.087
1969 7 0.102
1969 8 0.123
1969 9 0.126
1969 10 0.118
1969 11 0.097
1969 12 0.085
1970 1 0.088
1970 2 0.074
1970 3 0.075
1970 4 0.068
1970 5 0.057
1970 6 0.023
1970 7 0.007
1970 8 -0.022
1970 9 -0.043
1970 10 -0.056
1970 11 -0.066
1970 12 -0.078
1971 1 -0.086
1971 2 -0.081
1971 3 -0.09
1971 4 -0.094
1971 5 -0.097
1971 6 -0.099
1971 7 -0.119
1971 8 -0.121
1971 9 -0.105
1971 10 -0.1
1971 11 -0.089
1971 12 -0.072
1972 1 -0.064
1972 2 -0.045
1972 3 -0.042
1972 4 -0.037
1972 5 -0.035
1972 6 -0.009
1972 7 0.032
1972 8 0.072
1972 9 0.086
1972 10 0.108
1972 11 0.127
1972 12 0.135
1973 1 0.141
1973 2 0.129
1973 3 0.126
1973 4 0.129
1973 5 0.13
1973 6 0.108
1973 7 0.073
1973 8 0.021
1973 9 -0.006
1973 10 -0.037
1973 11 -0.063
1973 12 -0.079
1974 1 -0.089
1974 2 -0.082
1974 3 -0.086
1974 4 -0.097
1974 5 -0.103
1974 6 -0.108
1974 7 -0.092
1974 8 -0.058
1974 9 -0.037
1974 10 -0.024
1974 11 -0.006
1974 12 -0.001
1975 1 -0.001
1975 2 -0.03
1975 3 -0.031
1975 4 -0.032
1975 5 -0.049
1975 6 -0.053
1975 7 -0.062
1975 8 -0.083
1975 9 -0.116
1975 10 -0.131
1975 11 -0.168
1975 12 -0.187
1976 1 -0.189
1976 2 -0.185
1976 3 -0.184
1976 4 -0.196
1976 5 -0.182
1976 6 -0.161
1976 7 -0.134
1976 8 -0.106
1976 9 -0.072
1976 10 -0.044
1976 11 0.006
1976 12 0.045
1977 1 0.067
1977 2 0.1
1977 3 0.104
1977 4 0.124
1977 5 0.142
1977 6 0.136
1977 7 0.121
1977 8 0.115
1977 9 0.114
1977 10 0.109
1977 11 0.089
1977 12 0.062
1978 1 0.048
1978 2 0.008
1978 3 0.012
1978 4 0.007
1978 5 0.007
1978 6 0.01
1978 7 0.014
1978 8 -0.008
1978 9 -0.008
1978 10 -0.007
1978 11 -0.013
1978 12 -0.004
1979 1 -0.007
1979 2 0.025
1979 3 0.039
1979 4 0.059
1979 5 0.066
1979 6 0.097
1979 7 0.114
1979 8 0.158
1979 9 0.173
1979 10 0.189
1979 11 0.214
1979 12 0.223
1980 1 0.246
1980 2 0.254
1980 3 0.249
1980 4 0.242
1980 5 0.241
1980 6 0.216
1980 7 0.233
1980 8 0.23
1980 9 0.237
1980 10 0.229
1980 11 0.219
1980 12 0.233
1981 1 0.238
1981 2 0.248
1981 3 0.248
1981 4 0.247
1981 5 0.241
1981 6 0.264
1981 7 0.226
1981 8 0.204
1981 9 0.165
1981 10 0.146
1981 11 0.137
1981 12 0.11
1982 1 0.091
1982 2 0.063
1982 3 0.057
1982 4 0.057
1982 5 0.049
1982 6 0.046
1982 7 0.076
1982 8 0.1
1982 9 0.132
1982 10 0.152
